corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
-1 p=1783.561658
-2 p=1719.793773
-3 p=1670.068112
-4 p=1624.300244
-5 p=1582.676224
-6 p=1546.313998
-7 p=1515.081204
-8 p=1492.525691
-9 p=1475.782425
-10 p=1461.305768
-11 p=1450.044679
-12 p=1438.834414
-13 p=1429.826140
-14 p=1423.192990
-15 p=1419.218466
-16 p=1415.088991
-17 p=1409.027352
-18 p=1407.602206
-19 p=1403.664654
-20 p=1399.609343
-21 p=1396.675201
-22 p=1395.316107
-23 p=1392.958275
-24 p=1391.283783
-25 p=1390.075069
-26 p=1386.933885
-27 p=1385.661597
-28 p=1384.795169
-29 p=1382.094391
-30 p=1381.462016
-31 p=1381.430755
-32 p=1382.256670
-33 p=1379.881722
-34 p=1377.384201
-35 p=1376.922073
-36 p=1376.959855
-37 p=1375.448981
-38 p=1375.939337
-39 p=1373.672857
-40 p=1373.562856
-41 p=1373.157262
-42 p=1372.119504
-43 p=1370.094897
-44 p=1368.835244
-45 p=1367.824191
-46 p=1368.900872
-47 p=1367.486865
-48 p=1367.644293
-49 p=1365.785825
-50 p=1367.218737
-51 p=1366.414282
-52 p=1366.110994
-53 p=1366.040850
-54 p=1367.507345
-55 p=1367.380162
-56 p=1367.223693
-57 p=1366.420023
-58 p=1364.035190
-59 p=1365.568962
-60 p=1364.242529
-61 p=1364.854732
-62 p=1364.559375
-63 p=1363.731211
-64 p=1361.762190
-65 p=1360.521861
-66 p=1361.787677
-67 p=1361.485112
-68 p=1360.728193
-69 p=1360.124945
-70 p=1359.947737
-71 p=1361.133281
-72 p=1362.295833
-73 p=1360.383520
-74 p=1360.900581
-75 p=1359.879940
-76 p=1360.537113
-77 p=1361.069999
-78 p=1360.670949
-79 p=1359.394143
-80 p=1359.433482
-81 p=1360.583667
-82 p=1359.620877
-83 p=1360.875211
-84 p=1360.564963
-85 p=1362.041286
-86 p=1363.017686
-87 p=1363.450078
-88 p=1361.111182
-89 p=1360.426489
-90 p=1359.336335
-91 p=1359.790987
-92 p=1360.672140
-93 p=1360.100162
-94 p=1361.937602
-95 p=1361.592526
-96 p=1360.721913
-97 p=1361.028690
-98 p=1360.487533
-99 p=1358.732331
-100 p=1359.786859
-101 p=1361.204301
-102 p=1359.590607
-103 p=1360.655275
-104 p=1360.924816
-105 p=1360.544294
-106 p=1361.461758
-107 p=1362.252719
-108 p=1361.104693
-109 p=1361.583267
-110 p=1359.307047
-111 p=1357.899975
-112 p=1358.604727
-113 p=1359.574215
-114 p=1359.531326
-115 p=1359.316743
-116 p=1358.337436
-117 p=1361.493479
-118 p=1361.563539
-119 p=1360.754222
-120 p=1362.808410
-121 p=1361.128923
-122 p=1363.050915
-123 p=1361.800682
-124 p=1361.161963
-125 p=1360.494596
-126 p=1359.960463
-127 p=1361.175410
-128 p=1360.290074
-129 p=1359.796889
-130 p=1360.214549
-131 p=1360.594047
-132 p=1358.717251
-133 p=1356.826772
-134 p=1358.393000
-135 p=1357.981400
-136 p=1358.260023
-137 p=1358.147205
-138 p=1357.463203
-139 p=1358.354192
-140 p=1357.430668
-141 p=1358.232820
-142 p=1357.231666
-143 p=1360.694139
-144 p=1358.697126
-145 p=1358.466033
-146 p=1359.229352
-147 p=1358.380510
-148 p=1359.378736
-149 p=1358.704406
-150 p=1358.902364
-151 p=1358.668519
-152 p=1356.932959
-153 p=1356.983274
-154 p=1356.858006
-155 p=1356.062968
-156 p=1354.681975
-157 p=1357.326972
-158 p=1356.627273
-159 p=1356.226827
-160 p=1354.817747
-161 p=1356.626975
-162 p=1356.998464
-163 p=1357.144801
-164 p=1356.732611
-165 p=1356.008542
-166 p=1358.541218
-167 p=1356.751701
-168 p=1357.261892
-169 p=1357.376668
-170 p=1355.706232
-171 p=1359.272336
-172 p=1359.302070
-173 p=1359.374465
-174 p=1360.599490
-175 p=1356.973921
-176 p=1357.935689
-177 p=1357.059476
-178 p=1356.405148
-179 p=1356.133791
-180 p=1356.190212
-181 p=1356.008036
-182 p=1357.405486
-183 p=1355.532866
-184 p=1355.730073
-185 p=1357.096523
-186 p=1356.766510
-187 p=1356.389136
-188 p=1354.332895
-189 p=1356.800475
-190 p=1356.119646
-191 p=1356.820355
-192 p=1355.913587
-193 p=1355.841863
-194 p=1356.521744
-195 p=1357.289719
-196 p=1355.430816
-197 p=1354.695256
-198 p=1355.169084
-199 p=1356.225637
-200 p=1354.036166
-201 p=1354.543756
-202 p=1353.876802
-203 p=1356.331981
-204 p=1355.114197
-205 p=1354.667997
-206 p=1354.761078
-207 p=1354.741177
-208 p=1354.563255
-209 p=1353.554434
-210 p=1355.378270
-211 p=1355.274256
-212 p=1354.484795
-213 p=1355.005263
-214 p=1355.022961
-215 p=1356.195762
-216 p=1354.480670
-217 p=1353.004401
-218 p=1354.359482
-219 p=1354.474084
-220 p=1356.319070
-221 p=1356.916947
-222 p=1356.555635
-223 p=1356.114308
-224 p=1355.773173
-225 p=1354.346450
-226 p=1354.356069
-227 p=1354.840549
-228 p=1355.094414
-229 p=1353.148350
-230 p=1353.472882
-231 p=1356.361777
-232 p=1354.814422
-233 p=1353.818461
-234 p=1352.549796
-235 p=1352.229380
-236 p=1352.349389
-237 p=1352.175793
-238 p=1353.191622
-239 p=1352.860497
-240 p=1352.048636
-241 p=1352.020931
-242 p=1351.861695
-243 p=1352.583150
-244 p=1351.090499
-245 p=1350.882256
-246 p=1351.749675
-247 p=1350.569686
-248 p=1349.732842
-249 p=1351.393892
-250 p=1353.215040
-251 p=1351.148720
-252 p=1351.087360
-253 p=1352.943971
-254 p=1353.407446
-255 p=1352.564764
-256 p=1350.119792
-257 p=1351.280964
-258 p=1352.038962
-259 p=1353.358375
-260 p=1353.873991
-261 p=1353.459217
-262 p=1353.451676
-263 p=1352.727555
-264 p=1353.926481
-265 p=1352.182623
-266 p=1353.041070
-267 p=1354.205246
-268 p=1353.671803
-269 p=1351.937723
-270 p=1352.226211
-271 p=1352.706927
-272 p=1351.569448
-273 p=1352.310851
-274 p=1353.072852
-275 p=1352.883510
-276 p=1352.907808
-277 p=1351.333067
-278 p=1350.725944
-279 p=1350.333461
-280 p=1350.415164
-281 p=1352.168375
-282 p=1352.472628
-283 p=1351.542881
-284 p=1350.512155
-285 p=1352.257596
-286 p=1351.715420
-287 p=1349.117520
-288 p=1347.253017
-289 p=1347.269461
-290 p=1349.052824
-291 p=1349.115448
-292 p=1347.502946
-293 p=1347.652024
-294 p=1346.662035
-295 p=1347.776748
-296 p=1347.801332
-297 p=1349.212634
-298 p=1349.466852
-299 p=1348.263494
-300 p=1348.575271
-301 p=1348.022619
-302 p=1348.528980
-303 p=1348.805334
-304 p=1348.221790
-305 p=1346.220823
-306 p=1347.266335
-307 p=1347.428773
-308 p=1347.628080
-309 p=1348.227867
-310 p=1347.564620
-311 p=1348.922087
-312 p=1347.841994
-313 p=1348.236445
-314 p=1348.820250
-315 p=1348.910461
-316 p=1349.911730
-317 p=1350.502396
-318 p=1348.745088
-319 p=1349.597701
-320 p=1348.300213
-321 p=1348.430672
-322 p=1349.461619
-323 p=1350.061761
-324 p=1349.303726
-325 p=1350.005892
-326 p=1349.319832
-327 p=1349.240372
-328 p=1348.783430
-329 p=1347.993407
-330 p=1348.337741
-331 p=1348.728201
-332 p=1349.607005
-333 p=1349.964189
-334 p=1350.406316
-335 p=1351.304897
-336 p=1352.587358
-337 p=1351.311681
-338 p=1351.233715
-339 p=1350.672566
-340 p=1350.528595
-341 p=1349.548302
-342 p=1350.196865
-343 p=1350.773580
-344 p=1348.640990
-345 p=1347.435106
-346 p=1346.630439
-347 p=1348.371610
-348 p=1349.194180
-349 p=1349.203663
-350 p=1349.566391
-351 p=1347.941582
-352 p=1348.056091
-353 p=1346.187160
-354 p=1344.997578
-355 p=1342.540810
-356 p=1343.501197
-357 p=1342.639401
-358 p=1344.123976
-359 p=1343.651130
-360 p=1344.221511
-361 p=1344.838892
-362 p=1345.809779
-363 p=1344.826132
-364 p=1345.175879
-365 p=1344.732455
-366 p=1341.719858
-367 p=1340.650299
-368 p=1340.238951
-369 p=1340.432455
-370 p=1343.405046
-371 p=1342.486761
-372 p=1343.525627
-373 p=1343.079213
-374 p=1344.074902
